# start,end,mode,format,years,months,weeks,days,print,printWzeros
2000-04-17,2003-03-16,48,%w semanas %d dias,0,0,151,6,151 semanas 6 dias,151 semanas 6 dias
2000-04-17,2003-03-16,224,%y anos %m meses %w semanas,2,10,3,0,2 anos 10 meses 3 semanas,2 anos 10 meses 3 semanas
2000-04-17,2003-03-16,208,%y anos %m meses %d dias,2,10,0,27,2 anos 10 meses 27 dias,2 anos 10 meses 27 dias
2000-04-17,2003-03-16,176,%y anos %w semanas %d dias,2,0,47,4,2 anos 47 semanas 4 dias,2 anos 47 semanas 4 dias
2000-04-17,2003-03-16,112,%m meses %w semanas %d dias,0,34,3,6,34 meses 3 semanas 6 dias,34 meses 3 semanas 6 dias
2000-04-17,2003-03-16,240,%y anos %m meses %w semanas %d dias,2,10,3,6,2 anos 10 meses 3 semanas 6 dias,2 anos 10 meses 3 semanas 6 dias
2000-04-17,2003-04-17,128,%y anos,3,0,0,0,3 anos,3 anos
2000-04-17,2003-04-17,64,%m meses,0,36,0,0,36 meses,36 meses
2000-04-17,2003-04-17,32,%w semanas,0,0,156,0,156 semanas,156 semanas
2000-04-17,2003-04-17,16,%d dias,0,0,0,1095,1095 dias,1095 dias
2000-04-17,2003-04-17,192,%y anos %m meses,3,0,0,0,3 anos meses,3 anos 0 meses
2000-04-17,2003-04-17,160,%y anos %w semanas,3,0,0,0,3 anos semanas,3 anos 0 semanas
2000-04-17,2003-04-17,144,%y anos %d dias,3,0,0,0,3 anos dias,3 anos 0 dias
2000-04-17,2003-04-17,96,%m meses %w semanas,0,36,0,0,36 meses semanas,36 meses 0 semanas
2000-04-17,2003-04-17,80,%m meses %d dias,0,36,0,0,36 meses dias,36 meses 0 dias
2000-04-17,2003-04-17,48,%w semanas %d dias,0,0,156,3,156 semanas 3 dias,156 semanas 3 dias
2000-04-17,2003-04-17,224,%y anos %m meses %w semanas,3,0,0,0,3 anos meses semanas,3 anos 0 meses 0 semanas
2000-04-17,2003-04-17,208,%y anos %m meses %d dias,3,0,0,0,3 anos meses dias,3 anos 0 meses 0 dias
2000-04-17,2003-04-17,176,%y anos %w semanas %d dias,3,0,0,0,3 anos semanas dias,3 anos 0 semanas 0 dias
2000-04-17,2003-04-17,112,%m meses %w semanas %d dias,0,36,0,0,36 meses semanas dias,36 meses 0 semanas 0 dias
2000-04-17,2003-04-17,240,%y anos %m meses %w semanas %d dias,3,0,0,0,3 anos meses semanas dias,3 anos 0 meses 0 semanas 0 dias
2000-01-01,2010-04-14,144,%y anos %d dias,10,0,0,103,10 anos 103 dias,10 anos 103 dias
